ID,FechaPrestamo,EdadPrestamo,MontoPrestado,Cuotas
2590,2005-12-18 00:00:00,28,298,8
2175,2005-12-18 00:00:00,28,690,8
2603,2005-12-18 00:00:00,29,218,8
2181,2005-12-18 00:00:00,36,924,8
2594,2005-12-18 00:00:00,37,374,8
2173,2005-12-18 00:00:00,58,857,8
3157,2005-12-21 00:00:00,24,317,8
3150,2005-12-21 00:00:00,27,293,8
3148,2005-12-21 00:00:00,45,291,8
3112,2005-12-22 00:00:00,30,361,8
3249,2005-12-22 00:00:00,31,432,8
3119,2005-12-22 00:00:00,32,386,8
3120,2005-12-22 00:00:00,35,207,8
3111,2005-12-22 00:00:00,40,356,8
3110,2005-12-22 00:00:00,41,498,8
986,2005-12-23 00:00:00,24,348,8
985,2005-12-23 00:00:00,34,580,8
976,2005-12-23 00:00:00,36,200,8
963,2005-12-23 00:00:00,41,494,8
975,2005-12-23 00:00:00,42,462,8
1738,2005-12-27 00:00:00,25,659,8
3014,2005-12-27 00:00:00,34,486,8
3029,2005-12-27 00:00:00,40,210,8
3027,2005-12-27 00:00:00,40,218,8
3016,2005-12-27 00:00:00,41,397,8
3019,2005-12-27 00:00:00,43,431,8
3010,2005-12-27 00:00:00,44,527,8
1742,2005-12-27 00:00:00,53,404,8
1727,2005-12-27 00:00:00,53,782,8
3028,2005-12-27 00:00:00,60,284,8
3018,2005-12-27 00:00:00,62,228,8
1806,2005-12-28 00:00:00,40,554,8
1803,2005-12-28 00:00:00,44,283,8
1807,2005-12-28 00:00:00,49,427,8
1804,2005-12-28 00:00:00,52,458,8
1837,2006-01-07 00:00:00,34,362,8
3485,2006-01-17 00:00:00,24,212,8
1403,2006-01-17 00:00:00,28,412,8
3488,2006-01-17 00:00:00,29,258,8
1393,2006-01-17 00:00:00,46,343,8
3493,2006-01-17 00:00:00,47,379,8
1380,2006-01-17 00:00:00,53,502,8
3557,2006-01-18 00:00:00,20,437,8
232,2006-01-18 00:00:00,31,526,8
245,2006-01-18 00:00:00,31,954,8
236,2006-01-18 00:00:00,37,797,8
3555,2006-01-18 00:00:00,38,262,8
241,2006-01-18 00:00:00,40,787,8
224,2006-01-18 00:00:00,47,837,8
78,2006-01-20 00:00:00,47,503,8
2119,2006-01-25 00:00:00,31,358,8
2115,2006-01-25 00:00:00,55,297,8
2127,2006-01-25 00:00:00,55,332,8
2273,2006-01-26 00:00:00,43,355,8
2278,2006-01-26 00:00:00,53,295,8
1621,2006-01-27 00:00:00,38,363,8
1628,2006-01-27 00:00:00,45,388,8
1612,2006-01-27 00:00:00,59,321,8
1087,2006-01-29 00:00:00,20,986,8
1082,2006-01-29 00:00:00,39,606,8
1086,2006-01-29 00:00:00,48,811,8
1084,2006-01-29 00:00:00,52,450,8
